Product_ID,Product_Name,Category,Sub_Category,Total_Sales,Total_Profit,Total_Quantity,Total_Orders,Avg_Discount_,Profit_Margin_%,Product_Cost,First_Order_Date,Last_Order_Date,Top_Ordered_Customer_ID,Top_Ordered_Customer_Name,Top_Customer_Orders,Top_Customer_Quantity,Top_Customer_Sales
FUR-ADV-10000002,"Advantus Photo Frame, Duo Pack",Furniture,Furnishings,159.12,60.39,3,2,0.0,37.95,98.73,2014-05-08,2014-09-08,PH-8790,Patricia Hirasaki,1,2,106.08
FUR-ADV-10000108,"Advantus Clock, Erganomic",Furniture,Furnishings,350.07,3.36,7,3,0.0,0.96,346.71,2011-04-13,2012-05-10,SG-10890,Susan Gilcrest,1,4,200.04
FUR-ADV-10000183,"Advantus Photo Frame, Black",Furniture,Furnishings,974.83,-651.74,31,8,23.75,-66.86,1626.57,2011-12-27,2014-12-22,MC-7575,Matt Collins,1,6,317.88
FUR-ADV-10000188,"Advantus Stacking Tray, Erganomic",Furniture,Furnishings,124.95,4.2,7,5,26.0,3.36,120.75,2012-04-03,2014-09-19,MH-7620,Matt Hagelstein,1,2,49.98
FUR-ADV-10000190,"Advantus Frame, Duo Pack",Furniture,Furnishings,222.36,104.46,2,1,0.0,46.98,117.9,2011-08-30,2011-08-30,JK-5730,Joe Kamberova,1,2,222.36
FUR-ADV-10000571,"Advantus Frame, Erganomic",Furniture,Furnishings,2194.8,702.0,20,8,0.0,31.98,1492.8,2011-09-22,2014-12-17,DM-3015,Darrin Martin,1,8,877.92
FUR-ADV-10000600,"Advantus Clock, Duo Pack",Furniture,Furnishings,205.8,24.6,4,2,0.0,11.95,181.2,2014-04-02,2014-06-16,CR-2820,Cyra Reiten,1,2,102.9
FUR-ADV-10000847,"Advantus Stacking Tray, Black",Furniture,Furnishings,290.73,81.18,11,5,0.0,27.92,209.55,2011-01-07,2014-11-19,JC-6105,Julie Creighton,1,6,158.58
FUR-ADV-10001283,"Advantus Frame, Black",Furniture,Furnishings,177.79,-88.97,3,2,35.0,-50.04,266.76,2013-10-21,2014-09-22,LA-6780,Laura Armstrong,1,1,111.12
FUR-ADV-10001440,"Advantus Door Stop, Black",Furniture,Furnishings,959.14,176.38,22,7,10.0,18.39,782.76,2012-11-15,2014-11-26,SC-10095,Sanjit Chand,1,8,360.24
