Product_ID,Product_Name,Order_ID,Order_Date,Customer_ID,Customer_Name,Sales,Profit,Quantity,Discount,Product_Cost
OFF-TEN-10000025,"Tenex Lockers, Blue",AG-2011-2040,2011-01-01,TB-11280,Toby Braunhardt,408.3,106.14,2,0.0,302.16
OFF-TEN-10001585,"Tenex Box, Single Width",HU-2011-1220,2011-01-01,AT-735,Annie Thurman,66.12,29.64,4,0.0,36.48
OFF-SU-10000618,"Acme Trimmer, High Speed",IN-2011-47883,2011-01-01,JH-15985,Joseph Holt,120.37,36.04,3,10.0,84.33
OFF-PA-10001968,"Eaton Computer Printout Paper, 8.5 x 11",IN-2011-47883,2011-01-01,JH-15985,Joseph Holt,55.24,15.34,2,10.0,39.9
FUR-FU-10003447,"Eldon Light Bulb, Duo Pack",IN-2011-47883,2011-01-01,JH-15985,Joseph Holt,113.67,37.77,5,10.0,75.9
OFF-PA-10001492,"Enermax Note Cards, Premium",IT-2011-3647632,2011-01-01,EM-14140,Eugene Moren,44.86,-26.06,3,50.0,70.92
TEC-OKI-10002750,"Okidata Inkjet, Wireless",CA-2011-1510,2011-01-02,MM-7260,Magdelene Morse,314.22,3.12,1,0.0,311.1
FUR-BO-10000728,"Dania Corner Shelving, Traditional",ES-2011-4869686,2011-01-03,DD-13570,Dorothy Dickinson,854.49,290.43,7,0.0,564.06
OFF-ST-10002066,"Smead File Cart, Blue",ID-2011-12596,2011-01-03,CM-12235,Chris McAfee,135.12,-45.9,2,47.0,181.02
TEC-AC-10002881,"Belkin Numeric Keypad, Bluetooth",ID-2011-80230,2011-01-03,KL-16645,Ken Lonsdale,69.3,3.42,2,40.0,65.88
TEC-CO-10004182,"Hewlett Wireless Fax, Laser",ID-2011-80230,2011-01-03,KL-16645,Ken Lonsdale,912.46,-319.46,4,40.0,1231.92
FUR-CH-10000214,"Hon Rocking Chair, Set of Two",ID-2011-80230,2011-01-03,KL-16645,Ken Lonsdale,159.44,-95.68,2,40.0,255.12
FUR-CH-10000666,"SAFCO Chairmat, Black",ID-2011-80230,2011-01-03,KL-16645,Ken Lonsdale,68.87,-26.41,2,40.0,95.28
TEC-CO-10000594,"Hewlett Fax and Copier, Laser",IN-2011-33652,2011-01-03,DP-13390,Dennis Pardue,192.87,50.13,1,0.0,142.74
FUR-TA-10002797,"Chromcraft Round Table, Adjustable Height",IN-2011-65159,2011-01-03,LB-16735,Larry Blacks,211.18,-70.4,1,55.0,281.58
OFF-FA-10002569,"Stockwell Staples, Metal",IN-2011-65159,2011-01-03,LB-16735,Larry Blacks,6.01,0.55,1,45.0,5.46
