Customer_ID,Customer_Name,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
GT-14710,Greg Tran,9,30,34471.89028,5,5,5,15,Champions
SE-20110,Sanjit Engle,10,36,29532.62502,5,5,5,15,Champions
ZC-21910,Zuschuss Carroll,4,37,28472.81926,5,5,5,15,Champions
SP-20920,Susan Pistek,7,28,28124.21286,5,5,5,15,Champions
NF-18385,Natalie Fritzler,8,32,28044.3595,5,5,5,15,Champions
FH-14365,Fred Hopkins,2,30,27649.32652,5,5,5,15,Champions
HM-14860,Harry Marie,2,37,27434.1676,5,5,5,15,Champions
AF-10870,Art Ferguson,7,36,26487.2585,5,5,5,15,Champions
MY-18295,Muhammed Yedwab,1,29,25570.49418,5,5,5,15,Champions
BM-11140,Becky Martin,9,29,25312.2927,5,5,5,15,Champions
PO-18850,Patrick O'Brill,5,41,25274.4702,5,5,5,15,Champions
EM-13960,Eric Murdock,3,37,25228.52948,5,5,5,15,Champions
ME-17320,Maria Etezadi,6,30,24527.029,5,5,5,15,Champions
TP-21130,Theone Pippenger,3,37,22697.57728,5,5,5,15,Champions
JE-15715,Joe Elijah,10,36,22275.2689,5,5,5,15,Champions
JB-16000,Joy Bell-,2,32,22127.18112,5,5,5,15,Champions
JG-15805,John Grady,1,37,22015.3862,5,5,5,15,Champions
SC-20695,Steve Chapman,10,35,21931.0435,5,5,5,15,Champions
JK-16090,Juliana Krohn,9,33,21918.73684,5,5,5,15,Champions
MC-17635,Matthew Clasen,6,34,21113.5107,5,5,5,15,Champions
PO-18865,Patrick O'Donnell,1,35,21051.0598,5,5,5,15,Champions
GZ-14470,Gary Zandusky,8,35,20869.699,5,5,5,15,Champions
MF-18250,Monica Federle,8,32,20425.299600000002,5,5,5,15,Champions
MM-17920,Michael Moore,8,33,20383.654,5,5,5,15,Champions
AH-10210,Alan Hwang,7,34,20365.74018,5,5,5,15,Champions
MS-17365,Maribeth Schnelling,6,34,20317.0067,5,5,5,15,Champions
EH-13765,Edward Hooks,3,29,20259.916,5,5,5,15,Champions
CP-12340,Christine Phan,9,30,20109.46928,5,5,5,15,Champions
JG-15160,James Galang,2,32,19963.41,5,5,5,15,Champions
JF-15565,Jill Fjeld,2,29,19844.14866,5,5,5,15,Champions
DK-13090,Dave Kipp,9,36,19178.6392,5,5,5,15,Champions
SP-20620,Stefania Perrino,6,31,19113.6707,5,5,5,15,Champions
BM-11785,Bryan Mills,3,36,18446.8529,5,5,5,15,Champions
JD-16150,Justin Deggeller,1,28,18281.84948,5,5,5,15,Champions
KH-16690,Kristen Hastings,3,39,18158.4601,5,5,5,15,Champions
AH-10075,Adam Hart,3,34,18109.86142,5,5,5,15,Champions
JJ-15760,Joel Jenkins,3,28,18103.64108,5,5,5,15,Champions
GD-14590,Giulietta Dortch,6,29,18005.0006,5,5,5,15,Champions
CL-12700,Craig Leslie,9,31,17943.6508,5,5,5,15,Champions
PK-19075,Pete Kriz,9,29,17668.910499999998,5,5,5,15,Champions
BS-11755,Bruce Stewart,2,29,17557.4595,5,5,5,15,Champions
LT-16765,Larry Tron,7,30,17253.78294,5,5,5,15,Champions
RB-19465,Rick Bensley,1,36,17178.4394,5,5,5,15,Champions
JF-15190,Jamie Frazer,7,28,17064.7075,5,5,5,15,Champions
CL-12565,Clay Ludtke,6,30,17008.13588,5,5,5,15,Champions
TS-21340,Toby Swindell,9,31,16997.02948,5,5,5,15,Champions
JD-15895,Jonathan Doherty,7,32,16711.32422,5,5,5,15,Champions
KM-16375,Katherine Murray,3,28,16394.46064,5,5,5,15,Champions
MG-18205,Mitch Gastineau,3,29,16362.8956,5,5,5,15,Champions
JM-15655,Jim Mitchum,9,34,16294.727060000001,5,5,5,15,Champions
VW-21775,Victoria Wilson,7,30,15785.3774,5,5,5,15,Champions
DM-13015,Darrin Martin,6,30,15626.5318,5,5,5,15,Champions
DJ-13510,Don Jones,7,31,15420.2879,5,5,5,15,Champions
BP-11185,Ben Peterman,2,28,15376.031719999999,5,5,5,15,Champions
SV-20935,Susan Vittorini,1,28,15197.6927,5,5,5,15,Champions
RF-19840,Roy Französisch,7,31,15077.47568,5,5,5,15,Champions
MC-17845,Michael Chen,2,31,14947.88402,5,5,5,15,Champions
DK-12985,Darren Koutras,2,35,14823.9685,5,5,5,15,Champions
HG-15025,Hunter Glantz,7,29,14737.8066,5,5,5,15,Champions
TZ-21445,Tom Zandusky,9,28,14601.6714,5,5,5,15,Champions
KB-16315,Karl Braun,3,29,14542.76228,5,5,5,15,Champions
AG-10330,Alex Grayson,9,29,14534.50618,5,5,5,15,Champions
MG-17875,Michael Grace,6,33,14452.82062,5,5,5,15,Champions
ML-17755,Max Ludwig,2,28,14425.1044,5,5,5,15,Champions
DR-12880,Dan Reichenbach,4,32,14415.3383,5,5,5,15,Champions
FM-14215,Filia McAdams,8,31,14353.3978,5,5,5,15,Champions
HJ-14875,Heather Jas,6,32,14312.7962,5,5,5,15,Champions
LA-16780,Laura Armstrong,14,34,24273.0019,4,5,5,14,Champions
AM-10705,Anne McFarland,26,30,24218.5645,4,5,5,14,Champions
JH-15820,John Huston,14,31,23586.7205,4,5,5,14,Champions
BH-11710,Brosina Hoffman,24,31,23537.335,4,5,5,14,Champions
BN-11470,Brad Norvell,12,29,23378.10388,4,5,5,14,Champions
BF-11005,Barry Franz,9,25,23347.83866,5,4,5,14,Champions
SW-20755,Steven Ward,16,31,23321.579999999998,4,5,5,14,Champions
